"Code repositories / Application","Basis Tabel"
"","AdresMedewerker"
"","AdresStudentachtige_PreCalculatedData"
"","AdresStudentachtigeChg"
"","AdresStudentachtigeDel"
"","Backup_EUMAccount"
"","Backup_EUMInschrijving"
"","Beoordelingsschaalwaarden"
"","Betalingsachterstand"
"","Casemanager"
"","confTransOpleidingen"
"","ConversieBedrijfsmodelOds_Gebouw"
"","CrmStudentachtige_PreCalculatedData"
"","CrmStudieloopbaan_PreCalculatedData"
"","CursusConversieCode"
"","CursusExtraGegevens"
"","CursusInstituutsEmail"
"","Datacontract"
"","DatacontractView"
"","DeltaEUMInschrijving"
"","ErrorLog"
"","EUMInschrijving"
"","Interessegebied"
"","InteressegebiedWerving"
"","IwUren"
"","Kostenplaats"
"","MedewerkerOrganisatieonderdeel_PrecalculatedData"
"","MedewerkerPasfoto"
"","MedewerkerSharePoint_PrecalculatedData"
"","Onderwijsaanbod_PreCalculatedData"
"","OnderwijseenheidPerOnderwijsprogramma"
"","Onderwijseenheidresultaat"
"","Onderwijskwalificatie"
"","Onderwijsprogramma"
"","Opleiding"
"","OpleidingsgroepUrl"
"","Opleidingsniveau"
"","OpleidingsniveauMedewerker"
"","OrganisatieonderdeelTelefoonnummer"
"","PostcodeBE"
"","Postcodereeks"
"","Project"
"","SageStudietraject_PreCalculatedData"
"","School"
"","StuComm_Precalculated"
"","StuComm_Precalculated_Temp"
"","StudentachtigeOrganisatieonderdeel_PrecalculatedData"
"","StudentenAppCommunities"
"","Studiefase"
"","Studievorm"
"","test_Medewerker_PreCalculatedData"
"","test_MedewerkerOrganisatieonderdeel_PrecalculatedData"
"","ToeleverendeSchool"
"","Toetsresultaat"
"","Wervingsaanbod"
"","Wervingsopleiding"
"","WervingsopleidingInteressegebied"
"B3Net","Account"
"B3Net","AdresStudentachtige"
"B3Net","Arbeidsrelatie"
"B3Net","Croho"
"B3Net","Detachering"
"B3Net","EUMAccount"
"B3Net","Functie"
"B3Net","Gebouw"
"B3Net","Land"
"B3Net","Medewerker"
"B3Net","Medewerker_PreCalculatedData"
"B3Net","Medewerkernaam"
"B3Net","Onderwijsproduct"
"B3Net","OnderwijsProductNietRegulier"
"B3Net","Onderwijsproducttype"
"B3Net","Organisatieonderdeel"
"B3Net","Organisatieonderdeel_PreCalculatedData"
"B3Net","Product"
"B3Net","Sector"
"B3Net","Studentachtige"
"B3Net","Studentachtige_PreCalculatedData"
"B3Net","Studentachtigenaam"
"B3Net","StudieOvereenkomst_intern_PreCalculatedData"
"B3Net","TelefoonnummersoortStudentachtige"
"B3Net","TelefoonStudentachtige"
"Bereikbaarheidsgids","Account"
"Bereikbaarheidsgids","AdresGebouw"
"Bereikbaarheidsgids","Arbeidsrelatie"
"Bereikbaarheidsgids","EUMAccount"
"Bereikbaarheidsgids","Functie"
"Bereikbaarheidsgids","Gebouw"
"Bereikbaarheidsgids","Land"
"Bereikbaarheidsgids","Medewerker"
"Bereikbaarheidsgids","Medewerker_PreCalculatedData"
"Bereikbaarheidsgids","Medewerkernaam"
"Bereikbaarheidsgids","Organisatieonderdeel"
"Bereikbaarheidsgids","Organisatieonderdeel_PreCalculatedData"
"Bereikbaarheidsgids","Ruimte"
"Bereikbaarheidsgids","Studentachtige"
"Bereikbaarheidsgids","Studentachtige_PreCalculatedData"
"Bereikbaarheidsgids","Studentachtigenaam"
"Bereikbaarheidsgids","WerkplekMedewerker"
"CRM","Land"
"CanvasImportTool","AdresStudentachtige"
"CanvasImportTool","EUMAccount"
"CanvasImportTool","Studentachtige"
"CanvasImportTool","Studentachtige_PreCalculatedData"
"CanvasImportTool","Studentachtigenaam"
"Clientele","Account"
"Clientele","AdresGebouw"
"Clientele","Arbeidsrelatie"
"Clientele","EUMAccount"
"Clientele","Functie"
"Clientele","Gebouw"
"Clientele","Land"
"Clientele","Lesplaats"
"Clientele","Medewerker"
"Clientele","Medewerker_PreCalculatedData"
"Clientele","Organisatieonderdeel"
"Clientele","Organisatieonderdeel_PreCalculatedData"
"Clientele","Ruimte"
"Clientele","Studentachtige"
"Clientele","Studentachtige_PreCalculatedData"
"Clientele","Studentachtigenaam"
"Clientele","TelefoonMedewerker"
"Clientele","TelefoonStudentachtige"
"Clientele","WerkplekMedewerker"
"CodeGenerator4","Gebouw"
"CodeGenerator4","Organisatieonderdeel"
"CodeGenerator4","Organisatieonderdeel_PreCalculatedData"
"Cursusadministratie","Gebouw"
"Cursusadministratie","Gebouw"
"Cursusadministratie","Land"
"Cursusadministratie","Lesplaats"
"Cursusadministratie","Lesplaats"
"Cursusadministratie","OnderwijsaanbodNietRegulier"
"Cursusadministratie","OnderwijsaanbodNietRegulier"
"Cursusadministratie","OnderwijsProductNietRegulier"
"Cursusadministratie","OnderwijsProductNietRegulier"
"Cursusadministratie","OnderwijsproductNietRegulierInteressegebied"
"Cursusadministratie","Onderwijsproducttype"
"Cursusadministratie","Opleidingsvorm"
"Cursusadministratie","Opleidingsvorm"
"Cursusadministratie","Organisatieonderdeel"
"Cursusadministratie","Organisatieonderdeel"
"Cursusadministratie","Organisatieonderdeel_PreCalculatedData"
"Cursusadministratie","Organisatieonderdeel_PreCalculatedData"
"Data Collectief (CompanyInfo)","KVK_Bedrijfsgegevens"
"Data Collectief (CompanyInfo)","KVK_Bedrijfsgegevens_error"
"Data Collectief (CompanyInfo)","KVK_Bedrijfsgegevens_Mutatie"
"Data Collectief (CompanyInfo)","KVK_logging"
"E-Verkiezingen","Account"
"E-Verkiezingen","Croho"
"E-Verkiezingen","Gebouw"
"E-Verkiezingen","Lesplaats"
"E-Verkiezingen","Medewerker_PreCalculatedData"
"E-Verkiezingen","Onderwijsaanbod"
"E-Verkiezingen","Onderwijsproduct"
"E-Verkiezingen","Organisatieonderdeel"
"E-Verkiezingen","Organisatieonderdeel_PreCalculatedData"
"E-Verkiezingen","Studentachtige_PreCalculatedData"
"E-Verkiezingen","StudieOvereenkomst_intern_PreCalculatedData"
"EUM","DeltaEUMAccount"
"EUM","EUMAccount"
"FMU","Account"
"FMU","AdresStudentachtige"
"FMU","Arbeidsrelatie"
"FMU","Croho"
"FMU","EUMAccount"
"FMU","Functie"
"FMU","Gebouw"
"FMU","Land"
"FMU","Lesplaats"
"FMU","Medewerker"
"FMU","Medewerker_PreCalculatedData"
"FMU","Medewerkernaam"
"FMU","Onderwijsaanbod"
"FMU","OnderwijsaanbodNietRegulier"
"FMU","Onderwijsproduct"
"FMU","OnderwijsProductNietRegulier"
"FMU","Onderwijsproducttype"
"FMU","Opleidingsvariant"
"FMU","Opleidingsvorm"
"FMU","Organisatieonderdeel"
"FMU","Organisatieonderdeel_PreCalculatedData"
"FMU","Product"
"FMU","Sector"
"FMU","Studentachtige"
"FMU","Studentachtige_PreCalculatedData"
"FMU","Studentachtigenaam"
"FMU","StudieOvereenkomst_intern_PreCalculatedData"
"FMU","TelefoonMedewerker"
"FMU","TelefoonnummersoortMedewerker"
"FMU","TelefoonnummersoortStudentachtige"
"FMU","TelefoonStudentachtige"
"Fontys.DatabaseTableContentEditor","Arbeidsrelatie"
"Fontys.DatabaseTableContentEditor","EUMAccount"
"Fontys.DatabaseTableContentEditor","Functie"
"Fontys.DatabaseTableContentEditor","Gebouw"
"Fontys.DatabaseTableContentEditor","Medewerker"
"Fontys.DatabaseTableContentEditor","Organisatieonderdeel"
"Fontys.DatabaseTableContentEditor","Organisatieonderdeel_PreCalculatedData"
"Fontys.DatabaseTableContentEditor","StudieOvereenkomst_intern_PreCalculatedData"
"Fontys.MMPLibrary2","Arbeidsrelatie"
"Fontys.MMPLibrary2","Functie"
"Fontys.MMPLibrary2","Medewerker"
"Fontys.MMPLibrary2","Organisatieonderdeel"
"Fontys.MMPLibrary2","Organisatieonderdeel"
"Fontys.MMPLibrary2","StudieOvereenkomst_intern_PreCalculatedData"
"FontysApi","Account"
